"","author","first_author_surname","institution","inst_adress","country","title","year","journal","volume","number","first_page","last_page","abstract_pt","abstract_en","abstract_es","keywords_pt","keywords_en","keywords_es","doi","article_id","n_authors","n_pages","n_refs"
"11","Milena Gallardo; Karen Saban","Gallardo",",Universidad de Chile  ; ,Ruprecht-Karls-Universität Heidelberg Instituto de Romanística Departamento de Filología Hispanoamericana Ruprecht-Karls"," ;  ","Chile; Germany","Búsquedas estéticas para el afecto y la desafección. La memoria de hijos de sobrevivientes y desaparecidos en Chile y Argentina","2021","Acta poética","42","1",13,42,"","Abstract: Using a methodological framework based on cultural studies concerning transgenerational memory and trauma, on the one hand, and theoretical contributions on affection and emotions, on the other, this article analyzes and compares a series of novels and films written and made by Chilean and Argentine novelists and filmmakers in which they reflect on exile, forced disappearance and the violence perpetrated by the dictatorships of the Southern Cone. In particular, it investigates the way in which affection is encoded in the contemporary literary and audiovisual production of these sons and daughters of the disappeared and of former militants. For this purpose, the relationships of tension, resignification, dialogue and / or questioning about the role of fathers and mothers in the lives of these children and their configuration in some illustrative works are analyzed. We begin with a consideration of the compositional and formal resources of these stories in order to then, on an interpretive level, link these aesthetic decisions with different strategies that are used to deal with the complex situations experienced in childhood and with relationships with parents. Finally, the interpretation leads to identifying different aesthetic choices and possible resolutions related to the affective world that help to promote memory and build a present and an identity.","Resumen: Tomando como marco metodológico los estudios culturales de la memoria transgeneracional y el trauma, por un lado, así como los aportes teóricos sobre el afecto y las emociones, por otro, en este artículo se analizan y comparan una serie de novelas y de películas escritas y realizadas por novelistas y realizadores/as chilenos/as y argentinos/as en las que se reflexiona sobre el exilio, la desaparición forzada y la violencia perpetrada por las dictaduras del Cono Sur. En particular se indaga en el modo como se codifican los afectos en la producción literaria y audiovisual contemporánea de estos hijos e hijas de desaparecidos y de ex militantes. Se analizan para ello las relaciones de tensión, resignificación, diálogo y/o cuestionamiento en torno al papel de los padres y madres en la vida de esos hijos y su configuración en algunas obras ilustrativas. El análisis parte del relevamiento de los recursos compositivos y formales de dichos relatos para luego, en un nivel interpretativo, vincular estas decisiones estéticas con distintas estrategias que son utilizadas para lidiar con las complejas experiencias vividas en la infancia y con las relaciones con los progenitores. Finalmente, la interpretación conduce a identificar distintas elecciones estéticas y resoluciones posibles vinculadas con el mundo de lo afectivo para hacer memoria y construir un presente y una identidad.","","Cultural Studies; Novel; Film; Forced Disappearance; Affective World","Estudios culturales; novela; filme; desaparición forzada; mundo afectivo","10.19130/iifl.ap.2021.1.883","S0185-30822021000100013",2,29,53
"12","Nathaly Bernal; Hugo Armando Arciniegas","Bernal",",Universidad Industrial de Santander Escuela de Idiomas ; ,Universidad Industrial de Santander Escuela de Idiomas "," ;  ","Colombia; Colombia","Ensayo literario: hacia una teoría de la traducción","2021","Acta poética","42","1",45,68,"","Abstract: This article aims to contribute to the theoretical systematization of constituent aspects of the essay, in order to consider them in the practice of translation of this genre: argumentative superstructure, essayist narrator, ethical responsibility, generic hybridity, cultural references, and figures of speech and thought. To this end, we introduce a critical conceptualization of the essay and we review the theoretical-critical field of literary translation, both of traditional genres and of the essay, on which there are considerably less studies. We conclude that the identification and translation of these features result in the preservation of the stylistic and argumentative intentions of the essayist narrator, via which the translation constitutes an instance of ethical responsibility, both towards the author of the source text and the reader of the target text.","Resumen: Este artículo se propone contribuir a la sistematización teórica de rasgos constitutivos del ensayo, con miras a considerarlos en la práctica de traducción: superestructura argumentativa, narrador ensayista, responsabilidad ética, hibridez genérica, referencias culturales y figuras retóricas y de pensamiento. Para este fin, nos aproximamos a una conceptualización crítica del género; revisamos el campo teórico-crítico de la traducción literaria, tanto de géneros tradicionales como del ensayo, considerablemente menor. Concluimos que la identificación y traducción de estos rasgos redundan en la conservación de la voluntad de estilo y la intención argumentativa del narrador ensayista, con lo que la traducción se constituye una muestra de responsabilidad ética, tanto para con el autor del texto meta como para el lector de éste.","","Literary Essay; Literary Translation; Literary Genres,Translation Theory; Essay Translation","Ensayo literario; traducción literaria; géneros literarios; teoría de la traducción; traducción de ensayo","10.19130/iifl.ap.2021.1.884","S0185-30822021000100045",2,23,67
"13","Inês Costa; Ana Margarida Ramos; Elsa R. Brondo","Costa",",Universidade de Aveiro  ; ,Universidade de Aveiro  ; ,Universidad Nacional Autónoma de México Instituto de Investigaciones Filológicas "," ;  ;  ","Portugal; Portugal; Mexico","Literatura sin palabras: el caso de los libros-álbum sin texto","2021","Acta poética","42","1",69,86,"","Abstract: Picturebooks were considered the most original and relevant contribution made by children&#8217;s literature to canonical literature. This typology promotes creativity and experimentation, combining playfulness with artistic sophistication. For their part, wordless picturebooks, whose narrativity is found exclusively in the sequence of illustrations, bring forth questions as to whether they can be considered literature. Wordless picturebooks challenge traditional theoretical approaches and demand a complementary approach that encompasses all of the book&#8217;s elements. The scarce verbal component reinforces the meaning of the content and requires a more detailed reading of the illustrations. Using relevant examples, this paper aims to debate the inclusion of wordless picturebooks in the literary domain, through a reading that encompasses aesthetic criteria, with emphasis on narrativity.","Resumen: El libro-álbum, espacio de creatividad y experimentación, donde se entrecruzan lo lúdico y la sofisticación artística, fue considerado la contribución más original y relevante de la literatura infantil a favor de la literatura canónica. El libro-álbum sin texto, por su parte, sujeto a la narratividad que resulta exclusivamente de la secuencia de imágenes, plantea dudas sobre su integración en el dominio literario, desafiando los enfoques teóricos tradicionales y exigiendo un abordaje complementario de todos los elementos que componen el libro. La contención verbal intensifica los significados y obliga a una lectura profunda de las ilustraciones. A partir de ejemplos relevantes, cuestionaremos la integración de los libros-álbum sin texto al dominio literario, proponiendo una lectura con base en criterios estéticos, con énfasis en la narratividad.","","Children&#8217;s Literature; Picturebooks; Wordless Picturebooks; Literariness; Narrativity","Literatura infantil; libro-álbum; libro-álbum sin texto; literariedad; narratividad","10.19130/iifl.ap.2021.1.886","S0185-30822021000100069",3,17,52
"14","David Galicia Lechuga","Galicia Lechuga",",Universidad Nacional Autónoma de México  "," ","Mexico","Amor y la inspiración poética","2021","Acta poética","42","1",87,112,"","Abstract: Love&#8217;s personification has modeled the conception of love poetry since Antiquity. This article focuses on a little-known aspect of this personified figure. It will show that the process of poetic creation focused on the lyrical self is based on a profound relationship of the self with Love in its role as the inspiration of passion and writing. It will be observed how this idea begins with Greek poetics and how it was developed in three literary moments: the Latin elegy, Medieval lyric and Petrarchan poetry.","Resumen: Es sabido que la personificación de Amor ha modelado la concepción de la poesía amorosa desde la Antigüedad. La presente propuesta se enfoca en un aspecto de esta figura poco discutido por la crítica: la inspiración poética. Se mostrará que la conformación de la creación poética fundamentada en el yo lírico se basa en una profunda relación de éste con el personaje Amor, en tanto que inspirador de la pasión y de la escritura. Se observará cómo esta idea surgió en la poética griega y cómo se desarrolló en tres momentos literarios: la elegía latina, la lírica medieval y la poesía petrarquista.","","Poetic Inspiration; Love Poetry; Petrarchism; Medieval Lyric; Poetics","Inspiración poética; poesía amorosa; petrarquismo; lírica medieval; poética","10.19130/iifl.ap.2021.1.887","S0185-30822021000100087",1,25,42
"15","David Saldaña","Saldaña",",Universidad Nacional Autónoma de México Centro Regional de Investigaciones Multidisciplinarias "," ","Mexico","Cartografías políticas del recuerdo: identidad y espacio en Mapa dibujado por un espía de Guillermo Cabrera Infante","2021","Acta poética","42","1",113,134,"","Abstract: This work addresses the way geographical space is represented in Mapa dibujado por un espía (2013) by Guillermo Cabrera Infante. Taking into account the notions of Wayne C. Booth and Walter Benjamin regarding the narrator and the role of literature in society, we analyze this formal aspect of the text, the focalization of which proposes a &#8220;true&#8221; plot. The cartography of La Havana is based on the experience of the Cuban revolutionary reality that contrasts radically with the memories of the capital in the 50s. The historical data and the perception of the protagonist are combined in order to trace his identity, which is a form of the author&#8217;s insertion in the text: politics and daily life converge in order to re-map a space in which traditional culture and revolutionary cultural control are contrasted.","Resumen: En este trabajo se aborda la exploración del espacio de La Habana en Mapa dibujado por un espía (2013) de Guillermo Cabrera Infante. Desde las nociones de Wayne C. Booth y Walter Benajmin sobre el narrador y el rol de la literatura en la sociedad, se analiza esta dimensión formal del texto, cuya focalización propone una trama &#8220;verídica&#8221;. La cartografía de La Habana se basa en la experiencia de la realidad cubana revolucionaria que contrasta radicalmente con los recuerdos de la capital en los años cincuenta. Los datos históricos y la percepción del protagonista se conjugan para trazar su identidad, que es una forma de inscripción del autor en el texto: en ésta, confluyen política y cotidianeidad para recartografíar un espacio en el que se contraponen la cultura tradicional y el control cultural revolucionario.","","Rewriting; Map; Space; Social Criticism; Identity","Rescritura; mapa; espacio; crítica social; identidad","10.19130/iifl.ap.2021.1.888","S0185-30822021000100113",1,21,16
"16","Gisele Reinaldo da Silva","Silva",",Universidade Federal do Rio de Janeiro  "," ","Brazil","As imbricações entre história e literatura na leitura de Mariano Picón Salas, Roberto Fernández Retamar, José Lezama Lima e Antonio Cornejo Polar","2021","Acta poética","42","1",135,154,"Resumen: Este artigo parte da problemática sociocultural da Venezuela, estendendo-a à América Hispânica, a respeito do inacabado processo histórico de construção de suas identidades culturais para além dos determinismos europeus, das lendas míticas, ou das utopias acerca do ser americano. Abordaremos a singularidade do literatura latino-americana, em sua representação do lugar de fala do americano, a partir de imbricações entre literatura e história. Como aportes teórico-críticos, pautar-nos-emos em Picón Salas, Fernández Retamar, Lezama Lima e Cornejo Polar.","Abstract: This article considers the socio-cultural problems of Venezuela, and by extension of Hispanic America, regarding the unfinished historical process of building cultural identities beyond European determinisms, mythical legends or utopias about the American being. We will address the singularity of Latin American literature, in its representation of the place of American speech, in relation with the overlap between Literature and History. We will draw from theoretical-critical contributions by Picón Salas, Fernández Retamar, Lezama Lima and Cornejo Polar.","Resumen: Este artículo parte de la problemática sociocultural de Venezuela, extendiéndola a América Hispánica, respecto al inacabado proceso histórico de construcción de sus identidades culturales más allá de los determinismos europeos, de las leyendas míticas, o de las utopias acerca del ser americano. Abordaremos la singularidad de la literatura latinoamericana, en su representatividad del lugar de habla americano, a partir de imbricaciones entre literatura e historia. Como aportes teórico-críticos, nos basaremos en Picón Salas, Fernández Retamar, Lezama Lima y Cornejo Polar.","Literatura hispano-americana; história; romance latino-americano; mestiçagem cultural; América Latina","Hispanic-American Literature; History; Latin American Novel; Cultural Miscegenation; Latin America","Literatura hispanoamericana; historia; novela latinoamericana; mestizaje cultural; América Latina","10.19130/iifl.ap.2021.1.889","S0185-30822021000100135",1,19,8
"17","Fabio Morábito","Morábito",",Universidad Nacional Autónoma de México Instituto de Investigaciones Filológicas "," ","Mexico","Luz de apoyo","2021","Acta poética","42","1",157,161,"","","","","","","10.19130/iifl.ap.2021.1.890","S0185-30822021000100157",1,4,1
"18","Karla D. Urbano Gómez","Urbano Gómez",",Universidad Iberoamericana Puebla  ","Puebla ","Mexico","Gabriel M. Enríquez Hernández e Ivonne Sánchez Becerril (eds.). Memoria y reverberaciones de los sesenta y ocho. México: Instituto de Investigaciones Filológicas, UNAM, 2019","2021","Acta poética","42","1",165,170,"","","","","","","10.19130/iifl.ap.2021.1.891","S0185-30822021000100165",1,5,1
"19","Eulogio Rebollar Rebollar; Alfredo Rebollar Rebollar; Samuel Rebollar Rebollar; Juvencio Hernández Martínez; Germán Gómez Tenorio; Felipe de Jesús González Razo","Rebollar Rebollar",",Universidad Autónoma del Estado de México Centro Universitario UAEM Temascaltepec ; ,Universidad Tecnológica del Sur del Estado de México  ; ,Universidad Autónoma del Estado de México Centro Universitario UAEM ","Temascaltepec Estado de México; Tejupilco Estado de México; Los Reyes la Paz Estado de México","Mexico; Mexico; Mexico","Participación y especialización regional de los granos de consumo pecuario en México, 2003-2013","2019","Agricultura, sociedad y desarrollo","16","2",141,158,"","ABSTRACT The objective was to determine the participation and specialization of grains for livestock consumption from 2003 and 2013 in eight regions of Mexico (Northwest NW, North N, Northeast NE, Center-West CW, Center-East CE, South S, East E and Yucatan Peninsula PE). Regional analysis techniques were used, such as: participation of the sector in the region, participation of the region in the sector, and localization quotient. Maize and sorghum made higher contributions to the production value of grains for livestock consumption in Mexico, with 69.68 and 18.24 % in 2003; and 69.92 and 16.88 % in 2013. The highest contribution was made by the CW region with 27 % in maize and 40 % in sorghum. At the end of the study, maize increased its participation in CW and NE to 70.68 and 23.25 %; while sorghum decreased to 24.94 and 74.21 %. The S, E and PE regions maintained their specialization in maize, while CW increased in sorghum and NE decreased. The CE region increased its specialization in barley, NW continued specializing in wheat, and N in oats. The regional specialization of grains for livestock consumption in Mexico was different during the study years.","RESUMEN El objetivo fue determinar la participación y especialización de granos de consumo pecuario de 2003 y 2013 en ocho regiones de México (Noroeste NO, Norte NR, Noreste NE, Centro-Occidente CO, Centro-Este CE, Sur SU, Oriente OR y Península de Yucatán PE). Se utilizaron técnicas de análisis regional, como: participación del sector en la región, participación de la región en el sector y cociente de localización. El maíz y sorgo realizaron contribuciones mayores al valor de la producción de granos de consumo pecuario en México, con 69.68 y 18.24 % en 2003; y 69.92 y 16.88 % en 2013. La aportación mayor la realizó la región CO con 27 % en maíz y 40 % en sorgo. Al final del estudio, en CO y NE, el maíz incrementó su participación a 70.68 y 23.25 %; mientras que el sorgo la disminuyó a 24.94 y 74.21 %. Las regiones SU, OR y PE mantuvieron su especialización en maíz; mientras que CO aumentó en sorgo y NE disminuyó. La región CE incrementó su especialización en cebada, NO continuó especializándose en trigo y NR en avena. La especialización regional de los granos de consumo pecuario en México, fue diferente durante los años de estudio.","","localization quotient; regional contribution","cociente de localización; contribución regional","10.22231/asyd.v16i2.1004","S1870-54722019000200141",6,17,27
"20","Verónica Gutiérrez Villalpando; Emma Zapata Martelo; Austreberta Nazar Beutelspacher; Benito Salvatierra Izaba; Celia Ruíz de Oña","Gutiérrez Villalpando",",El Colegio de la Frontera Sur  ; ,Colegio de Postgraduados  "," ; Montecillo ","Mexico","Gobernanza en la gestión integral de recursos hídricos en las subcuencas Río Sabinal y Cañón Del Sumidero en Chiapas, México","2019","Agricultura, sociedad y desarrollo","16","2",159,181,"","ABSTRACT This study analyzes the processes of water governance in the Rio Sabinal and Cañon del Sumidero watersheds in Chiapas, Mexico, with the goal of providing an overarching vision of their principal structural problems, as well as the mechanisms of governance designed to address them. Using the Governance Analytical Framework (GAF) set forth by Hufty (2004), it analyzes three distinct water governance scenarios in which numerous governmental and non-governmental actors come together. Five analytical dimensions are employed: problem definition, interaction nodes or spaces, actors, norms or mechanisms of regulation and interactive processes-to evaluate the efficacy of the various sectors in constructing an effective and participative water governance system.","RESUMEN Se analizan los procesos de gobernanza del agua de las subcuencas Río Sabinal y Cañón del Sumidero en Chiapas, México, con el objetivo de ofrecer una visión de conjunto de los principales problemas que las afectan y los mecanismos para abordarlos. Se utiliza el enfoque metodológico denominado Marco Analítico de la Gobernanza (Hufty, 2004) para dar cuenta de tres experiencias de gobernanza del agua que aglutinan a un nutrido grupo de actores. Se abordan cinco dimensiones analíticas: definición del problema, nodos o espacios de interacción, actores, normas y procesos de interacción, valorando a los sectores involucrados en la construcción de una gobernanza del agua participativa y efectiva.","","water; governance; integral management; watersheds; nodal points; sustainability","agua; gobernanza; gestión integral; cuenca; puntos nodales; sustentabilidad","10.22231/asyd.v16i2.1005","S1870-54722019000200159",5,22,47
